"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"
"Casa Consistorial"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455833058"	"Casa Consistorial"	"Q66810051"	"ca:Casa Consistorial (Areny de Noguera)"	"isolated_dwelling"				"22035000599"
"el Campament d'Areny"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455833020"	"Campamento"	"Q66738144"	"ca:El Campament d'Areny"	"hamlet"				"22035000499"
"El Sas"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455833204"	"El Sas"	"Q13049495"	"ca:El Sas"	"hamlet"				"22035001099"
"els Molins"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455833464"	"Los Molinos"	"Q13049518"	"ca:Els Molins (Areny de Noguera)"	"isolated_dwelling"				"22035000699"
"Iscles"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"2866220806"	"Iscles"	"Q13049210"	"ca:Iscles"	"hamlet"				"22035001299"
"Puimolar"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455833941"	"Puimolar"	"Q13049926"	"ca:Puimolar"	"hamlet"				"22035000799"
"Ribera de Vall"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455834035"	"Rivera de Vall"	"Q13050009"	"ca:Ribera de Vall"	"hamlet"				"22035000899"
"Sant Martí del Sas"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455834215"	"San Martín"	"Q13050098"	"ca:Sant Martí del Sas"	"hamlet"				"22035000999"
"Sobrecastell"	"Franja"	"Ribagorça"	"Areny de Noguera"	"node"	"1455834413"	"Sobrecastell"	"Q13050197"	"ca:Sobrecastell"	"hamlet"				"22035001199"
"Aler"	"Franja"	"Ribagorça"	"Benavarri"	"node"	"1455832873"	"Aler"	"Q17311855"	"es:Aler"	"hamlet"				"22053000101"
"Calladrons"	"Franja"	"Ribagorça"	"Benavarri"	"node"	"1455833007"	"Caladrones"	"Q17312772"	"es:Caladrones"	"hamlet"				"22053000401"
"Castelló del Pla"	"Franja"	"Ribagorça"	"Benavarri"	"node"	"1455833072"	"Castillo del Pla"	"Q13048676"	"es:Castilló del Plá"	"hamlet"				"22053000501"
"Entença"	"Franja"	"Ribagorça"	"Benavarri"	"node"	"1455832892"	"Antenza"	"Q3573022"	"es:Antenza"	"hamlet"				"22053000201"
"Estanya"	"Franja"	"Ribagorça"	"Benavarri"	"node"	"1455833230"	"Estaña"	"Q13048990"	"es:Estaña"	"hamlet"				"22053000701"
"Pilzà"	"Franja"	"Ribagorça"	"Benavarri"	"node"	"1455833859"	"Pilzán"	"Q13049860"	"ca:Pilzà"	"hamlet"				"22053000801"
"Purroi de la Solana"	"Franja"	"Ribagorça"	"Benavarri"	"node"	"364851364"	"Purroy de la Solana"	"Q17343538"	"es:Purroy de la Solana"	"hamlet"				"22053000901"
"Siscar"	"Franja"	"Ribagorça"	"Benavarri"	"node"	"1455833112"	"Ciscar"	"Q13050193"	"es:Ciscar"	"hamlet"				"22053000601"
