"name:ca"	"name"	"osm_id"	"osm_type"	"alt_name"	"alt_name:ca"	"place"	"wikidata"
"Mar de Timor"	"Laut Timor"	"8329156449"	"node"			"sea"	"Q131418"
"Mar de Tràcia"	"Θρακικό Πέλαγος"	"4788255110"	"node"			"sea"	"Q379063"
"Mar de Visayas"	"Visayan Sea"	"4787973251"	"node"			"sea"	"Q474708"
"Mar de Wadden"	"Waddenzee / Wattenmeer / Vadehavet"	"12921913"	"relation"			"sea"	"Q26080"
"Mar de Wandel"	"Wandelhavet"	"5837815586"	"node"	"McKinleyhavet"		"sea"	"Q259929"
"Mar de Weddell"	"Weddell Sea"	"305639714"	"node"			"sea"	"Q173343"
"Mar del Corall"	"Coral Sea"	"305640134"	"node"			"sea"	"Q82931"
"Mar del Japó"	"日本海 / Японское море / 동해"	"12666169"	"relation"			"sea"	"Q27092"
"Mar del Nord"	"North Sea / Nordsee / Noordzee / Nordsøen / Nordsjøen / Mer du Nord"	"9051063"	"relation"			"sea"	"Q1693"
"Mar del Sud"	"남해"	"4769243482"	"node"			"sea"	"Q624569"
"Mar dels Cosmonautes"	"Maro de Kosmonaŭtoj"	"9359802"	"relation"			"sea"	"Q1509546"
"Mar dels Sargassos"	"Sargasso Sea"	"305639165"	"node"			"sea"	"Q169274"
"Mar dels Txuktxis"	"Чукотское море"	"305640107"	"node"			"sea"	"Q159252"
"Mar dels Txuktxis"	"Chukchi Sea"	"5852766"	"relation"			"sea"	"Q159252"
"Mar Egea"	"Αιγαίον Πέλαγος / Ege Denizi"	"4594226"	"relation"		"Mar Egeu"	"sea"	"Q34575"
"Mar Groga"	"Yellow Sea"	"305639182"	"node"			"sea"	"Q37960"
"Mar Interior de Seto"	"瀬戸内海"	"305640098"	"node"			"sea"	"Q231312"
"Mar Jònica"	"Ionian Sea"	"4497545"	"relation"		"Mar Jònia;Mar Jònic"	"sea"	"Q37495"
"Mar Lígur"	"Mar Ligure / Mer Ligure"	"305640000"	"node"		"Mar de Ligúria"	"sea"	"Q42820"
"Mar Mediterrània"	"Mediterranean Sea"	"305640275"	"node"		"Mar Mediterrani"	"sea"	"Q4918"
"Mar Negra"	"Чорне море - Marea Neagră - Черно море – Karadeniz - შავი ზღვა - Чёрное море"	"7160849"	"relation"		"Mar Negre"	"sea"	"Q166"
"Mar Roig"	"Mer Rouge / ቀይሕ ባሕሪ / البحر الأحمر"	"9323456"	"relation"		"Mar Roja;Mar Vermella;Mar Vermell"	"sea"	"Q23406"
"Mar Tirrena"	"Mar Tirreno / Mer Tyrrhénienne"	"305640273"	"node"			"sea"	"Q38882"
"Oceà Pacífic Nord"	"North Pacific Ocean"	"305640027"	"node"			"sea"	"Q12353254"
