"name:ca"	"regio"	"comarca"	"osm_id"	"osm_type"	"name"	"wikipedia"	"wikidata"	"border_type"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Formiguera"	"CatNord"	"Capcir"	"2815058"	"relation"	"Formiguères"	"fr:Formiguères"	"Q1094347"		"8"			"66082"
"Matamala"	"CatNord"	"Capcir"	"1069580"	"relation"	"Matemale"	"fr:Matemale"	"Q1369350"		"8"			"66105"
"Puigbalador"	"CatNord"	"Capcir"	"2814562"	"relation"	"Puyvalador"	"fr:Puyvalador"	"Q429271"		"8"			"66154"
"Real"	"CatNord"	"Capcir"	"2829664"	"relation"	"Réal"	"fr:Réal (Pyrénées-Orientales)"	"Q1350410"		"8"			"66159"
"Aiguatèbia i Talau"	"CatNord"	"Conflent"	"2912344"	"relation"	"Ayguatébia-Talau"	"fr:Ayguatébia-Talau"	"Q1093162"		"8"			"66010"
"Arboçols"	"CatNord"	"Conflent"	"2817026"	"relation"	"Arboussols"	"fr:Arboussols"	"Q199851"		"8"			"66007"
"Campome"	"CatNord"	"Conflent"	"2820851"	"relation"	"Campôme"	"fr:Campôme"	"Q735024"		"8"			"66034"
"Canavelles"	"CatNord"	"Conflent"	"2913416"	"relation"	"Canaveilles"	"fr:Canaveilles"	"Q603348"		"8"			"66036"
"Castell de Vernet"	"CatNord"	"Conflent"	"2913877"	"relation"	"Casteil"	"fr:Casteil"	"Q199756"		"8"			"66043"
"Catllà"	"CatNord"	"Conflent"	"2820610"	"relation"	"Catllar"	"fr:Catllar"	"Q197689"		"8"			"66045"
"Caudiers de Conflent"	"CatNord"	"Conflent"	"2912304"	"relation"	"Caudiès-de-Conflent"	"fr:Caudiès-de-Conflent"	"Q190045"		"8"			"66047"
"Clarà i Villerac"	"CatNord"	"Conflent"	"2864868"	"relation"	"Clara-Villerach"	"fr:Clara-Villerach"	"Q199744"		"8"			"66051"
"Codalet"	"CatNord"	"Conflent"	"409332"	"relation"	"Codalet"	"fr:Codalet"	"Q1110132"		"8"			"66052"
