"estat"	"name:ca"	"name"	"osm_id"	"osm_type"	"admin_level"	"alt_name"	"alt_name:ca"	"capital"	"capital:defacto"	"capital:executive"	"capital:judicial"	"capital:legislative"	"int_name"	"loc_name"	"long_name"	"nat_name"	"official_name"	"official_name:ca"	"old_name"	"old_name:ca"	"place"	"reg_name"	"short_name"	"shortest_name"	"wikidata"
"Sudan del Sud"	"Juba"	"Juba"	"97922073"	"node"	"2"			"yes"													"city"				"Q1947"
"Suècia"	"Estocolm"	"Stockholm"	"25929985"	"node"	"2"			"yes"													"city"		"Sthlm"		"Q1754"
"Suïssa"	"Berna"	"Bern"	"18477455"	"node"	"2"			"yes"						"Bärn"							"city"				"Q70"
"Surinam"		"Paramaribo"	"281537750"	"node"	"2"			"yes"													"city"				"Q3001"
"Swazilàndia"	"Mbabane"	"Mbabane"	"243837793"	"node"	"2"			"yes"													"city"				"Q3904"
"Tadjikistan"	"Duixanbe"	"Душанбе"	"27547977"	"node"	"2"			"yes"					"Dushanbe"						"Stalinabad"		"city"				"Q9365"
"Tailàndia"		"กรุงเทพมหานคร"	"1628207792"	"node"	"4"			"yes"					"Bangkok"				"กรุงเทพมหานคร อมรรัตนโกสินทร์ มหินทรายุธยา มหาดิลกภพ นพรัตนราชธานีบูรีรมย์ อุดมราชนิเวศน์มหาสถาน อมรพิมานอวตารสถิต สักกะทัตติยวิษณุกรรมประสิทธิ์"				"city"				"Q1861"
"Taiwan"	"Taipei"	"臺北市"	"1147314253"	"node"	"2"	"台北"		"yes"													"city"				"Q1867"
"Tanzània"		"Dodoma"	"87841198"	"node"	"2"			"yes"													"city"				"Q3866"
"Territori Britànic de l'Oceà Índic"		"Camp Thunder Cove"	"726796898"	"node"															"Camp Justice"		"village"				"Q5027293"
"Timor Oriental"		"Dili"	"262310617"	"node"	"2"			"yes"													"city"				"Q9310"
"Togo"		"Lomé"	"2195276463"	"node"	"2"			"yes"													"city"				"Q3792"
"Tokelau"		"Fakaofo"	"3168342084"	"node"				"3"													"village"				"Q2140263"
"Tonga"	"Nuku'alofa"	"Nukuʻalofa"	"1082208696"	"node"	"2"			"yes"													"city"				"Q38834"
"Trinitat i Tobago"		"Port of Spain"	"2718091147"	"node"	"2"			"yes"													"city"				"Q39178"
"Tunísia"	"Tunísia"	"تونس"	"27564968"	"node"	"2"	"Tunis"		"yes"									"Tunis"				"city"				"Q3572"
"Turkmenistan"		"Aşgabat"	"1811650017"	"node"	"2"			"yes"													"city"				"Q23438"
"Turquia"		"Ankara"	"25869410"	"node"	"2"			"yes"													"city"				"Q3640"
"Tuvalu"		"Funafuti"	"3376265049"	"node"	"2"			"yes"													"town"				"Q34126"
"Txad"	"N'Djamena"	"N'Djaména انجمينا"	"27565022"	"node"	"2"	"انْجَمِينا;نجامينا;إنجامينا;ندجاملينا"		"yes"											"Fort-Lamy"		"city"				"Q3659"
"Txèquia"	"Praga"	"Praha"	"1601837931"	"node"	"2"			"yes"													"city"				"Q1085"
"Ucraïna"	"Kíiv"	"Київ"	"26150422"	"node"	"2"	"Kiëf"	"Kíev"	"yes"													"city"				"Q1899"
"Uganda"		"Kampala"	"773119937"	"node"	"2"			"yes"													"city"				"Q3894"
"Uruguai"		"Montevideo"	"296140043"	"node"	"2"			"yes"									"San Felipe y Santiago de Montevideo"		"San Felipe y Santiago de Montevideo"		"city"				"Q1335"
"Uzbekistan"	"Taixkent"	"Toshkent"	"27524773"	"node"	"2"			"yes"					"Tashkent"						"Chach"		"city"		"TAS"		"Q269"
"Vanuatu"	"Port Vila"	"Port Vila"	"115622916"	"node"	"2"			"yes"											"Franceville"		"city"				"Q37806"
"Veneçuela"		"Caracas"	"914310439"	"node"	"2"			"yes"									"Santiago de León de Caracas"				"city"		"Caracas"	"CCS"	"Q1533"
"Vietnam"	"Hanoi"	"Hà Nội"	"74132064"	"node"	"4"			"yes"									"Thành phố Hà Nội"		"Thăng Long"		"city"				"Q1858"
"Xile"		"Santiago"	"50016356"	"node"	"2"			"yes"									"Santiago de Chile"		"Santiago de Nueva Extremadura"		"city"		"Stgo"		"Q2887"
"Xina"	"Pequín"	"北京市"	"25248662"	"node"	"2"	"北京"		"yes"					"Beijing"						"北平"		"city"				"Q956"
"Xipre"	"Nicòsia"	"Λευκωσία - Lefkoşa"	"1893015330"	"node"	"2"			"yes"													"city"				"Q3856"
"Zàmbia"		"Lusaka"	"27564994"	"node"	"2"			"yes"													"city"				"Q3881"
"Zimbabwe"		"Harare"	"282335934"	"node"	"2"			"yes"											"Salisbury"		"city"				"Q3921"
	"Alger"	"Alger"	"157062"	"relation"	"4"	"إيكوسيم;الجزائر العاصمة"		"yes"							"Wilaya d'Alger"										"Q141026"
