"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Portè"	"CatNord"	"Alta Cerdanya"	"Portè"	"node"	"313778049"	"Porté-Puymorens"	"Q1072001"	"fr:Porté-Puymorens"	"village"	"8"				
"Sallagosa"	"CatNord"	"Alta Cerdanya"	"Sallagosa"	"node"	"153427396"	"Saillagouse"	"Q582724"	"fr:Saillagouse"	"village"	"8"				
"Santa Llocaia"	"CatNord"	"Alta Cerdanya"	"Santa Llocaia"	"node"	"313784697"	"Sainte-Léocadie"	"Q1369688"	"ca:Santa Llocaia"	"village"	"8"				
"Targasona"	"CatNord"	"Alta Cerdanya"	"Targasona"	"node"	"313797507"	"Targasonne"	"Q1350666"	"ca:Targasona"	"village"	"8"				
"Ur"	"CatNord"	"Alta Cerdanya"	"Ur"	"node"	"297161746"	"Ur"	"Q632044"	"ca:Ur (Cerdanya)"	"village"	"8"				
"Vallcebollera"	"CatNord"	"Alta Cerdanya"	"Vallcebollera"	"node"	"296253126"	"Valcebollère"	"Q516509"	"ca:Vallcebollera"	"village"	"8"				
"els Angles"	"CatNord"	"Capcir"	"els Angles"	"node"	"313748301"	"Les Angles"	"Q1110114"	"ca:Els Angles"	"village"	"8"				
"Font-rabiosa"	"CatNord"	"Capcir"	"Font-rabiosa"	"node"	"313751021"	"Fontrabiouse"	"Q1071929"	"ca:Font-rabiosa"	"village"	"8"				
"Formiguera"	"CatNord"	"Capcir"	"Formiguera"	"node"	"312261574"	"Formiguères"	"Q1094347"	"ca:Formiguera"	"village"	"8"				
"Matamala"	"CatNord"	"Capcir"	"Matamala"	"node"	"312260242"	"Matemale"	"Q1369350"	"ca:Matamala (Capcir)"	"village"	"8"				
"Puigbalador"	"CatNord"	"Capcir"	"Puigbalador"	"node"	"312261577"	"Puyvalador"	"Q429271"	"ca:Puigbalador"	"village"	"8"				
"Real"	"CatNord"	"Capcir"	"Real"	"node"	"313778853"	"Réal"	"Q1350410"	"ca:Real (Capcir)"	"village"	"8"				
"Aiguatèbia"	"CatNord"	"Conflent"	"Aiguatèbia i Talau"	"node"	"287549649"	"Ayguatébia"	"Q54855505"	"ca:Aiguatèbia"	"village"	"8"				
"Arboçols"	"CatNord"	"Conflent"	"Arboçols"	"node"	"60943687"	"Arboussols"	"Q199851"	"ca:Arboçols"	"village"	"8"				
"Campome"	"CatNord"	"Conflent"	"Campome"	"node"	"218637576"	"Campôme"	"Q735024"	"ca:Campome"	"village"	"8"				
"Canavelles"	"CatNord"	"Conflent"	"Canavelles"	"node"	"378309423"	"Canaveilles"	"Q603348"	"ca:Canavelles"	"village"	"8"				
"Castell de Vernet"	"CatNord"	"Conflent"	"Castell de Vernet"	"node"	"313749375"	"Casteil"	"Q199756"	"ca:Castell de Vernet"	"village"	"8"				
"Catllà"	"CatNord"	"Conflent"	"Catllà"	"node"	"38900971"	"Catllar"	"Q197689"	"ca:Catllà"	"village"	"8"				
"Caudiers de Conflent"	"CatNord"	"Conflent"	"Caudiers de Conflent"	"node"	"297814260"	"Caudiès-de-Conflent"	"Q190045"	"ca:Caudiers de Conflent"	"village"	"8"				
"Clarà"	"CatNord"	"Conflent"	"Clarà i Villerac"	"node"	"38900065"	"Clara"	"Q50805665"	"ca:Clarà (Conflent)"	"village"	"8"				
"Codalet"	"CatNord"	"Conflent"	"Codalet"	"node"	"41177783"	"Codalet"	"Q1110132"	"ca:Codalet"	"village"	"8"				
"Conat"	"CatNord"	"Conflent"	"Conat"	"node"	"148505170"	"Conat"	"Q1093149"	"ca:Conat"	"village"	"8"				
"Cornellà de Conflent"	"CatNord"	"Conflent"	"Cornellà de Conflent"	"node"	"287558999"	"Corneilla-de-Conflent"	"Q198509"	"ca:Cornellà de Conflent"	"village"	"8"				
